feature_set,model,pool,share_affected,codes_added,pct_rise_total_predicted,dollars_per_added_code,dollars_per_code_fold_sd,n_folds
F2,LightGBM (Tweedie),prevalence,0.25,1,6.414118117975038,2021.3433790977924,25.82842953160062,5.0
F2,LightGBM (Tweedie),prevalence,0.25,2,12.781539600528179,1967.7264825585546,25.28695703694207,5.0
F2,LightGBM (Tweedie),targeted,0.05,1,3.16387410346932,4856.08806624067,452.46532752955966,5.0
F2,LightGBM (Tweedie),targeted,0.05,2,7.233148501523058,5519.482099450644,694.8312678679944,5.0
F2,LightGBM (Tweedie),targeted,0.1,1,6.105639396824824,4781.157716747042,552.567411206167,5.0
F2,LightGBM (Tweedie),targeted,0.1,2,14.426831022356742,5555.976462340568,757.1512354283533,5.0
F2,LightGBM (Tweedie),targeted,0.25,1,15.477347337736605,4877.526885489838,586.673561435248,5.0
F2,LightGBM (Tweedie),targeted,0.25,2,36.0766955782706,5554.03116613844,785.6673788024076,5.0
F2,LightGBM (squared error),chronic,0.05,1,2.280724742924237,3509.35994740736,559.7301473443257,5.0
F2,LightGBM (squared error),chronic,0.05,2,4.652426486069446,3559.0832590527357,603.3209816299947,5.0
F2,LightGBM (squared error),chronic,0.1,1,4.392120718032266,3447.9730921042437,481.77763074235986,5.0
F2,LightGBM (squared error),chronic,0.1,2,9.079976723967267,3505.596026905024,545.2951631882378,5.0
F2,LightGBM (squared error),chronic,0.25,1,11.008160279811102,3477.8077255474714,549.8106539890227,5.0
F2,LightGBM (squared error),chronic,0.25,2,22.634647898334602,3493.3571139729056,557.0049031907951,5.0
F2,LightGBM (squared error),own-targeted,0.05,1,5.23451672745934,8054.371052171234,1495.7758866940626,5.0
F2,LightGBM (squared error),own-targeted,0.05,2,10.233192969955477,7828.342026483991,1503.8771046907557,5.0
F2,LightGBM (squared error),own-targeted,0.1,1,10.363135285348624,8135.434772322575,1574.6629904335155,5.0
F2,LightGBM (squared error),own-targeted,0.1,2,20.250843325895246,7818.442498574671,1593.7833795995627,5.0
F2,LightGBM (squared error),own-targeted,0.25,1,25.684513056762903,8114.507389537003,1651.5539329044284,5.0
F2,LightGBM (squared error),own-targeted,0.25,2,50.600340151668505,7809.490080527645,1546.9773370040148,5.0
F2,LightGBM (squared error),prevalence,0.05,1,1.3877600351951216,2135.3517118782656,80.1417443597975,5.0
F2,LightGBM (squared error),prevalence,0.05,2,2.8231924115607177,2159.728236256216,209.74842497710262,5.0
F2,LightGBM (squared error),prevalence,0.1,1,2.7452960825827963,2155.156388061539,93.52869194972699,5.0
F2,LightGBM (squared error),prevalence,0.1,2,5.380036071407715,2077.1235048157805,46.271949934935556,5.0
F2,LightGBM (squared error),prevalence,0.25,1,6.8783008629839415,2173.0613719167136,149.81448600526824,5.0
F2,LightGBM (squared error),prevalence,0.25,2,13.73610435060702,2119.9851690645396,105.08868663385873,5.0
F2,LightGBM (squared error),targeted,0.05,1,4.781651305805332,7357.545283411153,1736.1674933059492,5.0
F2,LightGBM (squared error),targeted,0.05,2,9.531290015798746,7291.3897369424085,1680.153485938584,5.0
F2,LightGBM (squared error),targeted,0.1,1,9.22405108309584,7241.212611514522,1577.5174701399833,5.0
F2,LightGBM (squared error),targeted,0.1,2,18.755052623168936,7240.947852501641,1598.7891674402078,5.0
F2,LightGBM (squared error),targeted,0.25,1,23.21117945393301,7333.107183405052,1753.1739174086238,5.0
F2,LightGBM (squared error),targeted,0.25,2,46.968280318069276,7248.929911221337,1657.0127676370303,5.0
F2,Payment-form WLS (non-negative),chronic,0.05,1,2.8140784104844294,4333.371564133837,301.6413321970425,5.0
F2,Payment-form WLS (non-negative),chronic,0.05,2,5.744182354688557,4397.658899226787,216.3097376159642,5.0
F2,Payment-form WLS (non-negative),chronic,0.1,1,5.507136744682991,4326.633950978334,174.83162565360087,5.0
F2,Payment-form WLS (non-negative),chronic,0.1,2,11.163982434411443,4313.511607874256,207.11170959212146,5.0
F2,Payment-form WLS (non-negative),chronic,0.25,1,13.693075156111536,4329.388001800244,207.4177238995399,5.0
F2,Payment-form WLS (non-negative),chronic,0.25,2,27.81977178238683,4296.922275705659,199.5269656399223,5.0
F2,Payment-form WLS (non-negative),own-targeted,0.05,1,7.106696208838067,10943.53133572254,576.0947650365707,5.0
F2,Payment-form WLS (non-negative),own-targeted,0.05,2,14.376088516658058,11006.115352474932,570.1536196911994,5.0
F2,Payment-form WLS (non-negative),own-targeted,0.1,1,14.059199454523583,11045.487429061346,532.8909659988323,5.0
