variant,model,n,r2,cpm,pr_top_decile,top10_capture,max_abs_nc_target,nc_income,nc_mental_health,nc_function
no prior spending (F2),Tweedie GLM,43568,0.01276372213397281,0.17628369966955293,1.2353961436999192,0.3995477858389366,5223.067386278586,682.0164091289166,1423.6335689480297,-5223.067386278586
no prior spending (F2),LightGBM (Tweedie),43568,0.10082467702271258,0.19866733560761196,1.0126261010678352,0.40222525462955705,10670.381414961881,251.8995845654445,1.0601150923447504,-10670.381414961881
social-risk features (F4),WLS,43568,0.1274237862080685,0.15203912651087859,0.9573351338587162,0.4346647510944989,1461.7662141551295,-3.8344253880913994,171.70016852889216,-1461.7662141551295
social-risk features (F4),Tweedie GLM,43568,0.1222573132050131,0.24497915824767857,1.0277902274260051,0.45896834385983537,1235.8603606874758,34.856160266395904,677.5670752198821,1235.8603606874758
social-risk features (F4),LightGBM (Tweedie),43568,0.1937042346361969,0.27965851267306774,0.9931380911780918,0.48278752225476557,2190.2583555176675,-97.60142599526135,567.4847804224866,-2190.2583555176675
decedents included,WLS,43963,0.128061643638556,0.15066890121336285,0.9381423179304115,0.43599576368730564,6772.5146430395025,-97.82964305604166,172.57152595064085,-6772.5146430395025
decedents included,Tweedie GLM,43963,0.12878976632725303,0.24348805858167843,1.0068961330704551,0.465611837453818,3895.9051638152487,144.07738061705768,675.8985387524534,-3895.9051638152487
decedents included,LightGBM (Tweedie),43963,0.19272753376223117,0.2772782083278408,0.9855367800639191,0.48362535542999785,4529.460708954347,28.00683447357267,515.7602892721916,-4529.460708954347
pandemic outcomes out,WLS,28208,0.12371213046194329,0.14584612873352465,0.9732834309865565,0.4363094620137599,9652.453738448716,-157.85088867700355,38.33865368738934,-9652.453738448716
pandemic outcomes out,Tweedie GLM,28208,0.10781266599215045,0.24944273787953397,1.030860639620441,0.46883804563636156,6659.409922711528,0.7898090201902951,614.5143305032983,-6659.409922711528
pandemic outcomes out,LightGBM (Tweedie),28208,0.21144004990224707,0.28695680748456565,0.9855695674018342,0.4821874400400535,7997.913699443651,-103.50265448870296,142.36457413586473,-7997.913699443651
age 65 and over,WLS,9173,0.08228057220837492,0.0802173755471085,1.077967671666798,0.3335705400161419,5587.474773285995,5.393313664545847,569.1125795053325,-5587.474773285995
age 65 and over,Tweedie GLM,9173,0.10877996795138645,0.16402579421057073,1.0650479580115708,0.3720879343578829,3546.8059110556956,297.16032128644093,1822.8066360491812,-3546.8059110556956
age 65 and over,LightGBM (Tweedie),9173,0.17032130285268854,0.19655729505050334,0.9275914442224293,0.4155446549464801,4943.6529151884115,-179.82904629623954,2126.128525113839,-4943.6529151884115
"under 65, private",WLS,21962,0.09141510799766195,0.09487489280641703,1.0246855701414859,0.3864409145033064,7994.246919610146,214.7651735917443,64.56894667426434,-7994.246919610146
"under 65, private",Tweedie GLM,21962,0.0905017975225374,0.1784817811902213,1.0719671414009597,0.40588271665560205,3941.169664465084,177.6734139340754,238.84566621284688,-3941.169664465084
"under 65, private",LightGBM (Tweedie),21962,0.16038228488235173,0.21097953275996473,0.9676425112592247,0.44845942502642455,6578.876381595893,22.80743302649644,105.2012531728211,-6578.876381595893
