pct_rise_total,dollars_per_code,base_total,rise_total,affected_weight,codes_added_total,feature_set,model,pool,share_affected,codes_added,fold
1.1013081160909652,1744.6073707139199,539952117880.4565,5946536497.222523,3408524.231322667,413,F2,Two-part,targeted,0.05,1,0
2.3387938073487016,1754.1671723288396,539952117880.4565,12628366695.636276,3599533.4124485995,902,F2,Two-part,targeted,0.05,2,0
2.1303892021154436,1736.4690188790548,539952117880.4565,11503081615.918898,6624409.3564908495,863,F2,Two-part,targeted,0.1,1,0
4.589788415779859,1789.9654729448241,539952117880.4565,24782659757.2352,6922664.188729616,1734,F2,Two-part,targeted,0.1,2,0
5.349057682302569,1720.647449783193,539952117880.4565,28882350242.239983,16785745.531938717,2204,F2,Two-part,targeted,0.25,1,0
11.350026204234181,1773.6467321459231,539952117880.4565,61284706869.74925,17276469.366479002,4416,F2,Two-part,targeted,0.25,2,0
1.24496204703334,1972.17284770655,539952117880.4565,6722198939.764404,3408524.231322667,413,F2,Two-part,own-targeted,0.05,1,0
2.4309775535393903,1823.307812637492,539952117880.4565,13126114785.534447,3599533.4124485995,902,F2,Two-part,own-targeted,0.05,2,0
2.40101631274751,1957.0557514886173,539952117880.4565,12964338431.335424,6624409.3564908495,863,F2,Two-part,own-targeted,0.1,1,0
4.7111155077010505,1837.2816639755674,539952117880.4565,25437767959.626442,6922664.188729616,1734,F2,Two-part,own-targeted,0.1,2,0
6.120585971822922,1968.8272718462322,539952117880.4565,33048233581.551987,16785745.531938717,2204,F2,Two-part,own-targeted,0.25,1,0
11.616286890130246,1815.254776650905,539952117880.4565,62722387082.32808,17276469.366479002,4416,F2,Two-part,own-targeted,0.25,2,0
1.3507669555565613,2143.6775551452984,540935419007.5403,7306776890.855281,3408524.231322667,413,F2,LightGBM (Tweedie),prevalence,0.05,1,0
2.4638572755344574,1851.3339299847935,540935419007.5403,13327876677.160084,3599533.4124485995,902,F2,LightGBM (Tweedie),prevalence,0.05,2,0
2.5435247168006647,2076.9891086070343,540935419007.5403,13758826084.386028,6624409.3564908495,863,F2,LightGBM (Tweedie),prevalence,0.1,1,0
4.946016205919347,1932.4029563089673,540935419007.5403,26754753487.670662,6922664.188729616,1734,F2,LightGBM (Tweedie),prevalence,0.1,2,0
6.350487961344591,2046.500621456471,540935419007.5403,34352038662.722763,16785745.531938717,2204,F2,LightGBM (Tweedie),prevalence,0.25,1,0
12.556160381718101,1965.7002056186911,540935419007.5403,67920718772.105576,17276469.366479002,4416,F2,LightGBM (Tweedie),prevalence,0.25,2,0
1.9883667105476797,3155.553273838335,540935419007.5403,10755779797.107536,3408524.231322667,413,F2,LightGBM (Tweedie),chronic,0.05,1,0
3.976216420428907,2987.7154189079038,540935419007.5403,21508762954.49373,3599533.4124485995,902,F2,LightGBM (Tweedie),chronic,0.05,2,0
3.624788192674125,2959.9262580240743,540935419007.5403,19607763198.177628,6624409.3564908495,863,F2,LightGBM (Tweedie),chronic,0.1,1,0
7.702715709766595,3009.442345002139,540935419007.5403,41666717499.58556,6922664.188729616,1734,F2,LightGBM (Tweedie),chronic,0.1,2,0
9.369399654083649,3019.3714768804025,540935419007.5403,50682401277.30842,16785745.531938717,2204,F2,LightGBM (Tweedie),chronic,0.25,1,0
19.45352147743975,3045.500376364136,540935419007.5403,105230987915.71054,17276469.366479002,4416,F2,LightGBM (Tweedie),chronic,0.25,2,0
3.53459377508821,5609.427526372151,540935419007.5403,19119869647.487846,3408524.231322667,413,F2,LightGBM (Tweedie),targeted,0.05,1,0
8.326533282261053,6256.52862999286,540935419007.5403,45041167699.201126,3599533.4124485995,902,F2,LightGBM (Tweedie),targeted,0.05,2,0
6.938072574070208,5665.4850160822425,540935419007.5403,37530491949.59392,6624409.3564908495,863,F2,LightGBM (Tweedie),targeted,0.1,1,0
16.765766941216146,6550.366244902181,540935419007.5403,90691971653.29523,6922664.188729616,1734,F2,LightGBM (Tweedie),targeted,0.1,2,0
17.8011045632097,5736.562571721961,540935419007.5403,96292479556.96877,16785745.531938717,2204,F2,LightGBM (Tweedie),targeted,0.25,1,0
42.525619716894475,6657.498540977021,540935419007.5403,230036139201.1363,17276469.366479002,4416,F2,LightGBM (Tweedie),targeted,0.25,2,0
3.7831951575068232,6003.959833722896,540935419007.5403,20464642577.132507,3408524.231322667,413,F2,LightGBM (Tweedie),own-targeted,0.05,1,0
9.411298411813442,7071.617438239295,540935419007.5403,50909046497.99303,3599533.4124485995,902,F2,LightGBM (Tweedie),own-targeted,0.05,2,0
7.242736862056062,5914.26750431537,540935419007.5403,39178528992.37653,6624409.3564908495,863,F2,LightGBM (Tweedie),own-targeted,0.1,1,0
18.610835015332732,7271.232261626335,540935419007.5403,100672598370.99216,6922664.188729616,1734,F2,LightGBM (Tweedie),own-targeted,0.1,2,0
18.897324527365168,6089.829100460038,540935419007.5403,102222321613.31746,16785745.531938717,2204,F2,LightGBM (Tweedie),own-targeted,0.25,1,0
46.36806597407677,7259.043692376917,540935419007.5403,250821291962.56488,17276469.366479002,4416,F2,LightGBM (Tweedie),own-targeted,0.25,2,0
1.3081244975391348,2082.5939419070587,542652624299.1358,7098571914.996,3408524.231322667,413,F2,LightGBM (squared error),prevalence,0.05,1,0
2.656757440078663,2002.6156612395769,542652624299.1358,14416963969.849407,3599533.4124485995,902,F2,LightGBM (squared error),prevalence,0.05,2,0
2.5740104558296033,2108.5555762955946,542652624299.1358,13967935288.293491,6624409.3564908495,863,F2,LightGBM (squared error),prevalence,0.1,1,0
5.276949714284119,2068.243188375966,542652624299.1358,28635506107.50852,6922664.188729616,1734,F2,LightGBM (squared error),prevalence,0.1,2,0
6.809976727862213,2201.5416209896844,542652624299.1358,36954517427.90472,16785745.531938717,2204,F2,LightGBM (squared error),prevalence,0.25,1,0
13.41855807774697,2107.3795810757642,542652624299.1358,72816157551.9976,17276469.366479002,4416,F2,LightGBM (squared error),prevalence,0.25,2,0
2.0456472888003465,3256.763908136158,542652624299.1358,11100758696.579203,3408524.231322667,413,F2,LightGBM (squared error),chronic,0.05,1,0
4.26938663270521,3218.1863521154573,542652624299.1358,23167938603.851326,3599533.4124485995,902,F2,LightGBM (squared error),chronic,0.05,2,0
3.9412450107815604,3228.554929219287,542652624299.1358,21387269481.064896,6624409.3564908495,863,F2,LightGBM (squared error),chronic,0.1,1,0
8.312621817742842,3258.041933875894,542652624299.1358,45108660442.04407,6922664.188729616,1734,F2,LightGBM (squared error),chronic,0.1,2,0
10.444948061791163,3376.6617429142616,542652624299.1358,56679784763.99146,16785745.531938717,2204,F2,LightGBM (squared error),chronic,0.25,1,0
20.662431233668407,3245.0271798895155,542652624299.1358,112125225333.50592,17276469.366479002,4416,F2,LightGBM (squared error),chronic,0.25,2,0
4.801272194511381,7643.844606951923,542652624299.1358,26054229563.26072,3408524.231322667,413,F2,LightGBM (squared error),targeted,0.05,1,0
10.12015300394912,7628.388122345555,542652624299.1358,54917275859.01772,3599533.4124485995,902,F2,LightGBM (squared error),targeted,0.05,2,0
9.343080330121138,7653.583568488332,542652624299.1358,50700470601.778725,6624409.3564908495,863,F2,LightGBM (squared error),targeted,0.1,1,0
19.54763473212049,7661.483351666611,542652624299.1358,106075752862.26117,6922664.188729616,1734,F2,LightGBM (squared error),targeted,0.1,2,0
24.59409230910532,7950.822743259921,542652624299.1358,133460487337.91196,16785745.531938717,2204,F2,LightGBM (squared error),targeted,0.25,1,0
49.925276253544965,7840.746162642302,542652624299.1358,270920821778.45505,17276469.366479002,4416,F2,LightGBM (squared error),targeted,0.25,2,0
4.846530676196945,7715.898176742552,542652624299.1358,26299825901.845375,3408524.231322667,413,F2,LightGBM (squared error),own-targeted,0.05,1,0
10.515788177283078,7926.6107535513465,542652624299.1358,57064200509.764885,3599533.4124485995,902,F2,LightGBM (squared error),own-targeted,0.05,2,0
9.791528675626289,8020.939597463999,542652624299.1358,53133987317.288475,6624409.3564908495,863,F2,LightGBM (squared error),own-targeted,0.1,1,0
19.982457027226367,7831.9072326394335,542652624299.1358,108435327457.69095,6922664.188729616,1734,F2,LightGBM (squared error),own-targeted,0.1,2,0
24.835172007645056,8028.759425207656,542652624299.1358,134768712648.69028,16785745.531938717,2204,F2,LightGBM (squared error),own-targeted,0.25,1,0
50.125402052678595,7872.175845347188,542652624299.1358,272006809679.35327,17276469.366479002,4416,F2,LightGBM (squared error),own-targeted,0.25,2,0
1.19932320685358,1872.7473413689042,532242239266.5602,6383304692.201014,3408524.231322667,413,F2,CANN,prevalence,0.05,1,0
2.5076203740158287,1853.936788697183,532242239266.5602,13346614830.96634,3599533.4124485995,902,F2,CANN,prevalence,0.05,2,0
