feature_set,model,fold,rank,flag,training_gain
F2,Payment-form WLS (non-negative),1,3,GEN006,10695.930565469387
F2,Payment-form WLS (non-negative),1,4,MUS003,8944.295718839476
F2,Payment-form WLS (non-negative),1,5,MUS026,8741.224101040027
F2,Tweedie GLM,1,1,NVS009,9084.986859049939
F2,Tweedie GLM,1,2,MBD014,8044.746609117878
F2,Tweedie GLM,1,3,PRG029,6480.90283989495
F2,Tweedie GLM,1,4,MUS026,5594.9974189629565
F2,Tweedie GLM,1,5,NEO039,5194.099054200173
F2,Two-part,1,1,NVS009,2209.7950427308156
F2,Two-part,1,2,MUS026,2068.135269162386
F2,Two-part,1,3,GEN006,1992.049054246691
F2,Two-part,1,4,MBD003,1946.5522657657564
F2,Two-part,1,5,GEN007,1844.20418271629
F2,LightGBM (Tweedie),1,1,NVS009,6346.452432475497
F2,LightGBM (Tweedie),1,2,GEN006,5236.5157893862515
F2,LightGBM (Tweedie),1,3,NEO030,4668.98482601312
F2,LightGBM (Tweedie),1,4,CIR019,4497.757655724132
F2,LightGBM (Tweedie),1,5,MUS026,4462.881375604081
F2,LightGBM (squared error),1,1,GEN006,8898.2899941466
F2,LightGBM (squared error),1,2,NVS009,8127.289031904293
F2,LightGBM (squared error),1,3,CIR019,7699.530942488525
F2,LightGBM (squared error),1,4,INF009,7349.564789771964
F2,LightGBM (squared error),1,5,MUS026,6952.175999724912
F2,CANN,1,1,NEO030,9971.762559256747
F2,CANN,1,2,NVS009,9137.680377740686
F2,CANN,1,3,DEN001,9045.356106019724
F2,CANN,1,4,CIR019,8479.799836729859
F2,CANN,1,5,GEN006,8161.402955856503
F2,Constrained WLS,1,1,NVS009,22052.63348988025
F2,Constrained WLS,1,2,CIR019,17265.39600037797
F2,Constrained WLS,1,3,NVS015,14412.29363124534
F2,Constrained WLS,1,4,MUS003,14012.30822843673
F2,Constrained WLS,1,5,NVS012,13265.904882110663
F2,WLS,2,1,NVS015,14751.64038940461
F2,WLS,2,2,NVS009,10220.26189149692
F2,WLS,2,3,MUS003,10218.440630682977
F2,WLS,2,4,MUS026,8705.83884193216
F2,WLS,2,5,NEO030,8255.54213146984
F2,Payment-form WLS (non-negative),2,1,NVS015,15371.76844084006
F2,Payment-form WLS (non-negative),2,2,NVS009,10910.86598950444
F2,Payment-form WLS (non-negative),2,3,MUS003,10410.60501646988
F2,Payment-form WLS (non-negative),2,4,MUS026,8968.8365320706
F2,Payment-form WLS (non-negative),2,5,NEO030,8460.70863587361
F2,Tweedie GLM,2,1,NVS009,9193.016784483854
F2,Tweedie GLM,2,2,MBD014,7301.459516336446
F2,Tweedie GLM,2,3,NEO030,6054.996565614977
F2,Tweedie GLM,2,4,MUS003,5862.5464880376
F2,Tweedie GLM,2,5,PRG029,5572.404958699934
F2,Two-part,2,1,NVS009,2253.546318727242
F2,Two-part,2,2,MUS026,2021.3412004851418
F2,Two-part,2,3,MBD003,1847.7505874239562
F2,Two-part,2,4,EYE003,1771.2654288968192
F2,Two-part,2,5,NEO030,1752.59016543407
F2,LightGBM (Tweedie),2,1,NEO030,7362.9367990439605
F2,LightGBM (Tweedie),2,2,NVS009,6293.5340730822345
F2,LightGBM (Tweedie),2,3,RSP008,5761.42190386805
F2,LightGBM (Tweedie),2,4,MUS003,5466.702973081084
F2,LightGBM (Tweedie),2,5,GEN006,4788.97665764267
F2,LightGBM (squared error),2,1,NVS015,6792.611049134053
F2,LightGBM (squared error),2,2,MUS003,6699.209849641624
F2,LightGBM (squared error),2,3,NVS009,5936.620057858682
F2,LightGBM (squared error),2,4,NVS017,5690.2407024511485
F2,LightGBM (squared error),2,5,MUS026,4381.86553239954
F2,CANN,2,1,NVS009,9193.016784483854
F2,CANN,2,2,MBD014,7301.459516336446
F2,CANN,2,3,NEO030,6054.996565614977
F2,CANN,2,4,MUS003,5862.5464880376
F2,CANN,2,5,PRG029,5572.404958699934
F2,Constrained WLS,2,1,NVS009,22084.889716344867
F2,Constrained WLS,2,2,NVS015,20094.624674469727
F2,Constrained WLS,2,3,MUS003,13899.508170726276
F2,Constrained WLS,2,4,NVS012,12605.119133107244
F2,Constrained WLS,2,5,MUS026,12180.655024985484
F2,WLS,3,1,NVS015,12660.38686785626
F2,WLS,3,2,MUS003,12549.36194963066
F2,WLS,3,3,CIR019,11664.81489128474
F2,WLS,3,4,NVS009,11124.099566047274
F2,WLS,3,5,GEN006,10380.86478619639
F2,Payment-form WLS (non-negative),3,1,NVS015,13173.100491723519
F2,Payment-form WLS (non-negative),3,2,MUS003,12249.427997573692
F2,Payment-form WLS (non-negative),3,3,CIR019,11922.016694257223
F2,Payment-form WLS (non-negative),3,4,NVS009,11884.900174283393
F2,Payment-form WLS (non-negative),3,5,GEN006,10579.45955619291
F2,Tweedie GLM,3,1,NVS009,9603.955203624218
F2,Tweedie GLM,3,2,MBD014,8958.545140099939
F2,Tweedie GLM,3,3,MUS003,6893.041014942407
F2,Tweedie GLM,3,4,RSP016,6331.322081136109
F2,Tweedie GLM,3,5,NEO039,6329.633015363345
F2,Two-part,3,1,GEN006,2454.135199211683
F2,Two-part,3,2,NVS009,2289.130234445305
F2,Two-part,3,3,MUS026,2071.214669980785
F2,Two-part,3,4,MUS013,1977.1964507480898
F2,Two-part,3,5,MBD003,1923.8555765629717
F2,LightGBM (Tweedie),3,1,NVS009,6006.490516683392
F2,LightGBM (Tweedie),3,2,RSP008,5517.360585230053
F2,LightGBM (Tweedie),3,3,MUS003,5418.721844516491
F2,LightGBM (Tweedie),3,4,GEN006,4566.706831206161
F2,LightGBM (Tweedie),3,5,END002+END005,3872.6949237878616
F2,LightGBM (squared error),3,1,MUS003,11326.021056333964
F2,LightGBM (squared error),3,2,CIR019,11205.854256715456
F2,LightGBM (squared error),3,3,GEN006,10701.045059912074
F2,LightGBM (squared error),3,4,NVS009,10352.855084541385
F2,LightGBM (squared error),3,5,MUS026,8813.486868351367
F2,CANN,3,1,NVS009,9603.955203624218
F2,CANN,3,2,MBD014,8958.545140099939
F2,CANN,3,3,MUS003,6893.041014942407
F2,CANN,3,4,RSP016,6331.322081136109
F2,CANN,3,5,NEO039,6329.633015363345
F2,Constrained WLS,3,1,NVS009,27435.266781207425
F2,Constrained WLS,3,2,NVS015,18899.42867094806
F2,Constrained WLS,3,3,MUS003,17729.38155138636
F2,Constrained WLS,3,4,CIR019,15974.938897585547
F2,Constrained WLS,3,5,DEN002,15761.335020940112
F2,WLS,4,1,NVS015,12721.931514059259
F2,WLS,4,2,MUS003,12407.331589259979
F2,WLS,4,3,GEN006,10541.892199802682
F2,WLS,4,4,CIR019,8966.48073402258
F2,WLS,4,5,NVS009,8383.325678328238
F2,Payment-form WLS (non-negative),4,1,NVS015,12839.807905620792
F2,Payment-form WLS (non-negative),4,2,MUS003,12395.453128056102
F2,Payment-form WLS (non-negative),4,3,GEN006,10621.60100817189
F2,Payment-form WLS (non-negative),4,4,CIR019,9036.586993815305
F2,Payment-form WLS (non-negative),4,5,NVS009,8946.570886214618
F2,Tweedie GLM,4,1,NVS009,7595.301338054627
F2,Tweedie GLM,4,2,MBD014,6865.548777981914
F2,Tweedie GLM,4,3,MUS003,6363.882359664997
F2,Tweedie GLM,4,4,PRG029,5940.726290063624
F2,Tweedie GLM,4,5,NEO039,4560.425249314445
F2,Two-part,4,1,GEN008,2112.0325056783126
F2,Two-part,4,2,NVS009,2025.3622191820189
F2,Two-part,4,3,MUS003,2018.3268938424035
F2,Two-part,4,4,MBD003,1965.1034969479456
F2,Two-part,4,5,MUS013,1936.6722963852362
F2,LightGBM (Tweedie),4,1,MUS003,6655.758138129891
F2,LightGBM (Tweedie),4,2,NVS009,6351.52440137747
F2,LightGBM (Tweedie),4,3,INF009,5133.489251814609
