model,model_key,group,pr,nc,mean_cost,mae,n,nc_lo,nc_hi,nc_minus_wls,nc_minus_wls_lo,nc_minus_wls_hi,target_group
Payment-form WLS (non-negative),pwls,Non-Hispanic Asian,1.1583668746427305,780.2622064827755,4926.928110711395,5829.024529888554,2348,225.0017652307958,1315.3025306047537,601.6028028429506,424.630584595065,757.0733535210572,False
Payment-form WLS (non-negative),pwls,Needs ADL or IADL help,0.7033864938856613,-9292.517660911059,31328.707120062754,24354.563471992617,1612,-14436.61580186758,-5592.982376896592,-1545.7939872809602,-1949.397956300207,-1188.0416167267415,True
Payment-form WLS (non-negative),pwls,Mental health condition,1.0219886744682376,311.85363599772114,14182.466362317144,12582.736749522583,7175,-363.0484245361084,912.2854770702462,118.4036269070333,16.927944060996715,241.05601437423482,True
Payment-form WLS (non-negative),pwls,Age 65 and over,1.011292330473185,189.27038877819473,16760.96791779527,15152.832650554308,9490,-680.8636429414955,881.7124611412976,190.6695450571075,75.31952259931828,283.20284050061207,False
Payment-form WLS (non-negative),pwls,Uninsured all year,1.2737391596257626,657.1697003385866,2400.7149771228355,3551.726321947757,3114,101.54309892278737,1196.9524398347905,783.4585167916733,609.2378837242944,930.2609497839817,False
Payment-form WLS (non-negative),pwls,Died in year 2,0.33111575633665136,-44316.34040457654,66254.1251709931,55494.85192609442,395,-55359.27939730684,-33097.27628414914,-709.2678418572686,-1403.2746965819197,-156.92223042243552,False
Tweedie GLM,tweedie,Income below 200% FPL,1.0169132352108983,132.51652379959876,7835.0783955402985,7330.475575227232,15406,-390.6679232343658,565.1790341833731,224.44269581149103,103.0948624899563,373.8571075574307,True
Tweedie GLM,tweedie,Hispanic,1.0025911626898811,12.466865173206735,4811.3015913244535,5295.990901772096,9944,-776.7725663788458,608.9268214321527,283.609808827069,203.95189993298916,369.9912116374489,False
Tweedie GLM,tweedie,Non-Hispanic Black,0.9977587427164724,-14.935321852040943,6663.814084089429,6517.3722490395785,6187,-679.7166851375672,629.2141959649344,187.35498013125422,42.33653973570829,359.492249167113,False
Tweedie GLM,tweedie,Non-Hispanic Asian,1.0785873532214751,387.19423973329043,4926.928110711395,5298.649688939139,2348,-151.60539101188425,866.6346259249952,208.53483609346566,40.444148453121436,391.68583041683235,False
Tweedie GLM,tweedie,Needs ADL or IADL help,0.8480068557201591,-4761.748701400576,31328.707120062754,24293.92976438189,1612,-9352.958899482173,-1287.0340535628407,2984.9749722295237,2226.8396520772303,3833.7237576865296,True
Tweedie GLM,tweedie,Mental health condition,1.0475711129982583,674.6757099157858,14182.466362317144,12160.969739595457,7175,-10.60291469430788,1367.3923715521219,481.22570082509793,194.2178819453209,794.8819384617958,True
